scope,report_section,experiment,split,retrieval_or_grounding,selector,context,k,recall_pct,selector_accuracy_pct,final_accuracy_pct,verification_status,notes
report,4.3,GNormPlus BELB-style,test,GNormPlus,GNormPlus,document,,,,,verified,"76.19% linking accuracy = 1488/1953 recognized gold spans"
report,4.3,GNormPlus full-test,test,GNormPlus,GNormPlus,document,,,,54.56,reported,"Report value; preserved output reproduces 54.53% = 1488/2729"
report,4.5.1,Direct GeneID generation,test,none,Qwen2.5-14B-Instruct,window_500,,,,10.33,verified,"Direct numerical GeneID generation"
report,4.5.2,Gene symbol grounding,test,"NCBI symbol lookup + GNormPlus species assignment",Qwen2.5-14B-Instruct,window_500,,,,55.73,verified,"2641/2729 mapped; 1521 correct"
report,4.6.1,Dictionary retrieval,development,dictionary,none,none,10,60.25,,,verified,"Exact normalized term lookup"
report,4.6.2,SapBERT retrieval,development,"SapBERT gene_info mean pooling + description",none,none,20,70.85,,,verified,"Historical development retriever"
report,4.6.2,SapBERT retrieval,test,"SapBERT synonym KB CLS pooling + GeneID dedup",none,none,20,47.86,,,verified,"Historical test retriever differs from development"
report,4.7,BioELQA-style T5 noFT,development,SapBERT,T5-base,none,5,27.12,14.64,3.97,verified,"Compact answer-letter likelihood scoring"
report,4.7,BioELQA-style T5 noFT,test,SapBERT,T5-base,none,5,29.68,15.19,4.51,verified,"Compact answer-letter likelihood scoring"
report,4.7,BioELQA-style Qwen noFT,development,SapBERT,Qwen2.5-Instruct,none,5,27.12,35.72,9.69,partially_verified,"Report says 14B; saved filenames say 7B"
report,4.7,BioELQA-style Qwen noFT,test,SapBERT,Qwen2.5-Instruct,none,5,29.68,46.79,13.89,partially_verified,"Report says 14B; saved filenames say 7B"
report,4.8.1,Dictionary + Qwen,development,dictionary,Qwen2.5-14B-Instruct,window_500,10,60.25,74.88,45.12,verified,"2518 total mentions"
report,4.8.1,Dictionary + Qwen,test,dictionary,Qwen2.5-14B-Instruct,window_500,10,56.61,75.08,42.51,verified,"1545 gold in candidates; 1160 correct"
report,4.8.1,Dictionary + Qwen,test,dictionary,Qwen2.5-14B-Instruct,window_500,20,57.24,72.60,41.55,verified,"1562 gold in candidates; 1134 correct"
report,4.8.2,SapBERT + Qwen,development,SapBERT,Qwen2.5-14B-Instruct,window_500,20,70.85,65.58,46.47,verified,"Historical development SapBERT configuration"
report,4.8.2,SapBERT + Qwen,test,SapBERT,Qwen2.5-14B-Instruct,window_500,20,47.86,49.23,23.56,verified,"Historical test SapBERT configuration"
report,4.9,Context ablation mention only,development,fixed SapBERT,Qwen2.5-14B-Instruct,mention,5,45.15,62.09,28.04,verified,"Fixed candidate list"
report,4.9,Context ablation sentence,development,fixed SapBERT,Qwen2.5-14B-Instruct,sentence,5,45.15,69.66,31.45,verified,"Fixed candidate list"
report,4.9,Context ablation three sentences,development,fixed SapBERT,Qwen2.5-14B-Instruct,three_sentences,5,45.15,70.54,31.85,verified,"Fixed candidate list"
report,4.9,Context ablation 500-char,development,fixed SapBERT,Qwen2.5-14B-Instruct,window_500,5,45.15,72.56,32.76,verified,"Fixed candidate list"
report,4.9,Context ablation full abstract,development,fixed SapBERT,Qwen2.5-14B-Instruct,abstract,5,45.15,75.99,34.31,verified,"Fixed candidate list"
report,4.9,Context ablation title + abstract,development,fixed SapBERT,Qwen2.5-14B-Instruct,title_abstract,5,45.15,75.46,34.07,verified,"Fixed candidate list"
report,4.10.1,Dictionary full abstract,development,dictionary,Qwen2.5-14B-Instruct,abstract,10,60.25,77.85,46.90,verified,"Same candidate list as local-context K10"
report,4.10.2,Candidate size K15,development,dictionary,Qwen2.5-14B-Instruct,abstract,15,60.48,71.04,42.97,verified,"1523 gold in candidates"
report,4.10.2,Candidate size K20,development,dictionary,Qwen2.5-14B-Instruct,abstract,20,61.12,72.45,44.28,verified,"1539 gold in candidates"
report,4.10.3,Candidate order original,development,dictionary,Qwen2.5-14B-Instruct,abstract,10,60.25,77.85,46.90,verified,"Original dictionary ranking"
report,4.10.3,Candidate order shuffle mean,development,dictionary,Qwen2.5-14B-Instruct,abstract,10,60.25,78.38,47.22,verified,"Five random permutations"
post_report,,Full-abstract test K10,test,dictionary,Qwen2.5-14B-Instruct,abstract,10,56.61,78.58,44.49,verified,"Run after internship report; 1214 correct"
post_report,,Full-abstract test K20,test,dictionary,Qwen2.5-14B-Instruct,abstract,20,57.24,75.22,43.06,verified,"Run after internship report; 1175 correct"
exploratory,,Symbol grounding without species,test,NCBI symbol lookup,Qwen2.5-14B-Instruct,window_500,,,,2.16,verified,"2641 mapped; 59 correct"
